Date,Region,Product,Sales
2025-01-01,North,Laptop,50000
2025-01-02,South,Mobile,20000
2025-01-03,East,Tablet,15000
2025-01-04,West,Laptop,60000
2025-01-05,North,Mobile,25000
2025-01-06,South,Tablet,18000
2025-01-07,East,Laptop,52000
2025-01-08,West,Mobile,23000
2025-01-09,North,Tablet,17000
2025-01-10,South,Laptop,61000
2025-01-11,East,Mobile,21000
2025-01-12,West,Tablet,16000
2025-01-13,North,Laptop,55000
2025-01-14,South,Mobile,24000
2025-01-15,East,Tablet,14000
2025-01-16,West,Laptop,63000
2025-01-17,North,Mobile,26000
2025-01-18,South,Tablet,19000
2025-01-19,East,Laptop,57000
2025-01-20,West,Mobile,22000
2025-01-21,North,Tablet,18000
2025-01-22,South,Laptop,60000
2025-01-23,East,Mobile,20000
2025-01-24,West,Tablet,15000
2025-01-25,North,Laptop,58000
2025-01-26,South,Mobile,23000
2025-01-27,East,Tablet,16000
2025-01-28,West,Laptop,62000
2025-01-29,North,Mobile,27000
2025-01-30,South,Tablet,20000
2025-01-31,East,Laptop,59000
2025-02-01,West,Mobile,24000
2025-02-02,North,Tablet,19000
2025-02-03,South,Laptop,64000
2025-02-04,East,Mobile,22000
2025-02-05,West,Tablet,17000
2025-02-06,North,Laptop,56000
2025-02-07,South,Mobile,25000
2025-02-08,East,Tablet,15000
2025-02-09,West,Laptop,61000
2025-02-10,North,Mobile,28000
2025-02-11,South,Tablet,21000
2025-02-12,East,Laptop,60000
2025-02-13,West,Mobile,23000
2025-02-14,North,Tablet,20000
2025-02-15,South,Laptop,65000
2025-02-16,East,Mobile,24000
2025-02-17,West,Tablet,18000
